aX,aY,aZ,proximity,label
0.453,0.974,0.624,0.9372549019607843,0
0.464,0.525,1.0314999999999999,0.9607843137254902,0
0.864,0.835,0.4435,0.0,1
0.473,0.375,0.9944999999999999,0.9490196078431372,0
0.9139999999999999,0.759,0.5185,0.0,1
0.472,0.771,0.8755,0.9607843137254902,0
0.486,0.4935,1.0015,0.615686274509804,0
0.498,0.991,0.5395,0.7725490196078432,0
0.48,0.478,1.0015,0.12941176470588237,0
0.5065,0.4425,1.0005,0.6313725490196078,0
0.4855,0.448,0.9975,0.9568627450980393,0
0.8925000000000001,0.773,0.388,0.0,1
0.827,0.7935,0.27,0.1607843137254902,1
0.898,0.7625,0.382,0.0,1
0.876,0.7364999999999999,0.2885,0.0,1
0.907,0.7475,0.366,0.0,1
0.497,0.9824999999999999,0.5775,0.8627450980392157,0
0.8905000000000001,0.777,0.3785,0.0,1
0.4755,0.32899999999999996,0.9650000000000001,0.9607843137254902,0
0.4985,0.997,0.543,0.8274509803921568,0
0.476,0.9784999999999999,0.5935,0.8901960784313725,0
0.479,0.4945,1.0025,0.6627450980392157,0
0.8734999999999999,0.7464999999999999,0.3015,0.047058823529411764,1
0.4615,0.438,0.9625,0.9607843137254902,0
0.435,0.3075,0.9665,0.9647058823529412,0
0.472,0.326,1.01,0.9568627450980393,0
0.4775,0.4365,0.9975,0.9607843137254902,0
0.508,0.012500000000000011,0.6174999999999999,0.9019607843137255,0
0.46950000000000003,0.987,0.5700000000000001,0.8431372549019608,0
0.41000000000000003,0.132,0.718,0.9647058823529412,0
0.4845,0.4585,1.0034999999999998,0.8980392156862745,0
0.8855,0.8005,0.4315,0.0,1
0.8505,0.8285,0.6165,0.0,1
0.8345,0.8049999999999999,0.308,0.0,1
0.8320000000000001,0.858,0.455,0.0,1
0.4775,0.575,0.9875,0.9529411764705882,0
0.87,0.752,0.28400000000000003,0.0,1
0.46799999999999997,0.442,0.996,0.8823529411764706,0
0.892,0.7435,0.3055,0.1607843137254902,1
0.841,0.7909999999999999,0.29400000000000004,0.09803921568627451,1
0.478,0.437,0.991,0.9215686274509803,0
0.8305,0.8454999999999999,0.6055,0.0,1
0.4885,0.4535,1.005,0.9568627450980393,0
0.621,0.5205,0.996,0.9411764705882353,0
0.4555,0.9575,0.641,0.9411764705882353,0
0.453,0.241,0.9325,0.9607843137254902,0
0.5055,0.4715,0.993,0.7725490196078432,0
0.8905000000000001,0.771,0.3795,0.0,1
0.8895,0.772,0.3665,0.047058823529411764,1
0.444,0.3785,0.96,0.9490196078431372,0
0.8845000000000001,0.7715000000000001,0.3415,0.0392156862745098,1
0.48,0.326,0.9685,0.9607843137254902,0
0.4605,0.4625,0.9975,0.7411764705882353,0
0.496,0.4515,1.0030000000000001,0.0,0
0.4665,0.982,0.5865,0.8862745098039215,0
0.4965,0.401,0.9704999999999999,0.9607843137254902,0
0.497,0.429,0.9975,0.5882352941176471,0
0.833,0.862,0.4135,0.0,1
0.882,0.759,0.324,0.0,1
0.8755,0.8215,0.4715,0.06666666666666667,1
0.8415,0.7915,0.29500000000000004,0.0784313725490196,1
0.479,0.4655,1.002,0.5176470588235295,0
0.4345,0.2515,0.956,0.9568627450980393,0
0.881,0.772,0.3655,0.011764705882352941,1
0.8280000000000001,0.8494999999999999,0.6035,0.047058823529411764,1
0.8325,0.8025,0.3015,0.054901960784313725,1
0.9299999999999999,0.746,0.512,0.09803921568627451,1
0.792,0.8755,0.398,0.0,1
0.482,0.474,1.0015,0.30980392156862746,0
0.4805,0.4805,1.002,0.6980392156862745,0
0.8565,0.8200000000000001,0.591,0.0,1
0.8395,0.871,0.428,0.0,1
0.482,0.464,0.9984999999999999,0.9607843137254902,0
0.9275,0.748,0.5105,0.0,1
0.5055,0.603,0.9964999999999999,0.9647058823529412,0
0.46950000000000003,0.434,1.008,0.9607843137254902,0
0.831,0.7955,0.28,0.1450980392156863,1
0.883,0.7645,0.33399999999999996,0.0,1
0.8215,0.8545,0.6095,0.0,1
0.415,0.034499999999999975,0.6695,0.9529411764705882,0
0.8385,0.8545,0.4565,0.0,1
0.46950000000000003,0.4675,0.984,0.8784313725490196,0
0.482,0.473,0.998,0.7058823529411765,0
0.4975,0.991,0.532,0.7529411764705882,0
0.4805,0.5275,1.0135,0.9686274509803922,0
0.4885,0.4205,0.996,0.7490196078431373,0
0.911,0.744,0.35650000000000004,0.17647058823529413,1
0.873,0.8125,0.422,0.0,1
0.513,0.508,0.875,0.9490196078431372,0
0.505,0.767,0.9475,0.9607843137254902,0
0.497,0.99,0.54,0.7803921568627451,0
0.4715,0.474,1.008,0.9529411764705882,0
0.473,0.994,0.5855,0.9215686274509803,0
0.8945000000000001,0.7745,0.395,0.0,1
0.4825,0.535,1.012,0.9450980392156862,0
0.8165,0.8360000000000001,0.3305,0.0,1
0.8895,0.7444999999999999,0.3255,0.0,1
