time,aX,aY,aZ,proximity
544236,0.673,0.666,0.212,-1
544715,0.663,0.700,0.215,0
545205,0.669,0.669,0.256,-1
545680,0.657,0.704,0.232,0
546178,0.653,0.692,0.218,-1
546658,0.661,0.691,0.211,0
547148,0.659,0.687,0.219,-1
547620,0.650,0.702,0.223,0
548123,0.653,0.702,0.224,-1
548661,0.644,0.709,0.211,4
549211,0.660,0.691,0.211,-1
550614,0.656,0.699,0.207,12
553281,0.714,0.661,0.148,-1
586749,0.658,0.727,0.093,0
588055,0.653,0.714,0.132,-1
588625,0.663,0.681,0.192,0
589125,0.661,0.696,0.151,-1
589643,0.648,0.718,0.173,0
590180,0.655,0.695,0.191,-1
590662,0.661,0.680,0.203,0
591213,0.660,0.698,0.172,-1
591758,0.662,0.703,0.174,0
592278,0.636,0.722,0.192,-1
592775,0.660,0.701,0.167,0
593251,0.652,0.707,0.198,-1
593732,0.663,0.707,0.204,0
594270,0.651,0.685,0.091,-1
594791,0.642,0.719,0.170,0
595321,0.649,0.706,0.192,-1
595855,0.643,0.709,0.219,0
596327,0.636,0.711,0.231,-1
596818,0.620,0.727,0.237,0
597329,0.624,0.723,0.211,-1
597847,0.642,0.721,0.198,0
598362,0.619,0.725,0.238,-1
598891,0.635,0.707,0.233,0
599414,0.620,0.704,0.257,-1
599888,0.619,0.711,0.270,0
600377,0.622,0.707,0.265,-1
600829,0.588,0.752,0.298,0
601331,0.606,0.721,0.266,-1
601827,0.606,0.723,0.271,0
602429,0.602,0.717,0.279,-1
603008,0.602,0.724,0.269,0
603537,0.603,0.716,0.291,-1
604096,0.596,0.710,0.312,0
604613,0.607,0.713,0.304,-1
605144,0.597,0.706,0.338,0
605688,0.627,0.690,0.285,-1
606197,0.594,0.706,0.330,0
606697,0.615,0.678,0.326,-1
607221,0.598,0.741,0.262,0
607772,0.595,0.714,0.302,-1
610456,0.601,0.729,0.279,0
610466,0.603,0.724,0.282,-1
612398,0.622,0.712,0.270,45
614244,0.596,0.708,0.280,-1
658983,0.616,0.693,-0.326,0
662229,0.684,0.632,-0.340,-1
663444,0.652,0.661,-0.323,0
664110,0.635,0.665,-0.310,-1
664739,0.607,0.701,-0.342,0
665325,0.634,0.679,-0.328,-1
665901,0.633,0.672,-0.339,0
666398,0.619,0.694,-0.300,-1
666912,0.628,0.678,-0.296,0
667456,0.615,0.693,-0.334,-1
667967,0.629,0.683,-0.316,0
668447,0.629,0.686,-0.335,-1
668934,0.632,0.685,-0.335,0
669426,0.630,0.683,-0.296,-1
669942,0.604,0.745,-0.183,0
670440,0.615,0.730,-0.322,-1
670930,0.611,0.729,-0.213,0
671444,0.618,0.722,-0.229,-1
671943,0.609,0.726,-0.265,0
672412,0.620,0.729,-0.254,-1
672860,0.612,0.719,-0.249,0
673315,0.612,0.724,-0.235,-1
673779,0.607,0.730,-0.238,0
674214,0.610,0.723,-0.238,-1
674654,0.628,0.707,-0.210,0
675091,0.617,0.723,-0.233,-1
675545,0.599,0.745,-0.221,0
675953,0.620,0.721,-0.230,-1
676399,0.615,0.721,-0.201,0
676816,0.616,0.711,-0.217,-1
677250,0.621,0.723,-0.199,0
677695,0.619,0.723,-0.224,-1
678133,0.619,0.705,-0.256,0
678591,0.599,0.785,-0.233,-1
679034,0.584,0.751,-0.204,0
679457,0.596,0.756,-0.149,-1
679884,0.615,0.740,-0.161,0
680302,0.601,0.743,-0.179,-1
680731,0.601,0.753,-0.151,0
681172,0.617,0.744,-0.178,-1
681613,0.581,0.775,-0.121,0
682047,0.605,0.752,-0.185,-1
682475,0.606,0.754,-0.148,0
682943,0.604,0.768,-0.212,-1
683424,0.675,0.694,-0.226,0
683921,0.718,0.681,-0.216,-1
684398,0.719,0.653,-0.108,0
