time,aX,aY,aZ,proximity
49142,0.004,0.039,0.994,-1
49342,-0.005,0.170,0.975,144
49542,-0.026,-0.021,0.989,-1
49742,-0.022,-0.122,0.984,216
49942,-0.029,-0.163,0.985,-1
50142,-0.030,-0.218,0.977,235
50342,-0.034,-0.122,0.995,-1
50542,-0.062,-0.110,0.999,239
50742,-0.059,0.056,0.977,-1
50942,-0.060,-0.003,1.006,231
51142,-0.033,-0.150,0.987,-1
51342,-0.032,-0.133,1.002,212
51542,-0.025,-0.114,0.992,-1
51742,-0.035,-0.082,1.002,210
51942,-0.046,-0.057,1.002,-1
52142,-0.041,-0.024,1.006,204
52342,-0.038,-0.040,0.999,-1
52542,-0.042,-0.034,1.004,197
52742,-0.035,-0.022,1.003,-1
52942,-0.041,-0.021,1.004,192
53142,-0.038,-0.021,1.007,-1
53342,-0.036,-0.054,0.996,180
53542,-0.033,-0.051,0.998,-1
53742,-0.039,-0.039,1.004,178
53942,-0.035,0.011,1.002,-1
54142,-0.042,-0.011,1.005,169
54342,-0.038,-0.025,0.998,-1
54542,-0.044,-0.006,1.002,167
54742,-0.042,-0.001,1.004,-1
54942,-0.044,0.000,1.003,170
55142,-0.038,-0.006,0.999,-1
55342,-0.043,0.040,0.994,184
55542,-0.025,-0.026,0.998,-1
55742,-0.047,0.002,1.013,181
55942,-0.021,-0.066,0.991,-1
56142,-0.008,-0.097,1.006,0
56342,-0.001,-0.133,0.998,-1
56542,0.002,-0.141,0.989,0
56742,-0.005,-0.142,0.994,-1
56942,-0.004,-0.129,0.994,17
57142,0.003,-0.138,0.990,-1
57342,-0.008,-0.132,0.994,0
57542,-0.001,-0.135,0.994,-1
57742,-0.006,-0.142,0.995,150
57942,-0.002,-0.139,0.994,-1
58142,-0.005,-0.130,0.998,46
58342,-0.001,-0.141,0.991,-1
58542,-0.000,-0.141,0.994,121
58742,-0.001,-0.145,0.993,-1
58942,0.002,-0.149,0.990,196
59142,0.000,-0.148,0.990,-1
59342,-0.003,-0.111,0.999,187
59542,-0.006,-0.126,0.998,-1
59742,0.000,-0.140,0.989,66
59942,-0.005,-0.140,0.994,-1
60142,-0.005,-0.141,0.994,110
60342,-0.005,-0.134,0.994,-1
60542,-0.005,-0.125,0.999,211
60742,-0.006,-0.090,1.001,-1
60942,-0.016,-0.057,1.000,183
61142,-0.036,-0.017,1.006,-1
61342,-0.032,-0.009,1.002,49
61542,-0.028,-0.018,1.001,-1
61742,-0.026,-0.025,1.003,181
61942,-0.024,-0.039,1.003,-1
62142,-0.019,-0.062,1.000,228
62342,-0.021,-0.075,1.003,-1
62542,-0.014,-0.104,0.999,230
62742,-0.017,-0.081,1.001,-1
62942,-0.022,-0.057,0.998,209
63142,-0.027,-0.051,1.000,-1
63342,-0.028,-0.013,1.003,157
63542,-0.030,-0.008,1.007,-1
63742,-0.026,-0.048,1.001,0
63942,-0.019,-0.051,1.001,-1
64142,-0.019,-0.058,1.002,228
64342,-0.026,-0.020,1.002,-1
64542,-0.030,-0.056,0.999,246
64742,-0.060,-0.132,1.044,-1
64942,0.041,-0.105,0.749,246
65142,0.008,-0.149,0.872,-1
65342,-0.019,-0.087,0.929,244
65542,-0.051,0.215,0.872,-1
65742,-0.041,0.081,0.990,244
65942,0.023,0.012,1.048,-1
66142,-0.004,-0.268,0.807,245
66342,-0.043,-0.327,0.907,-1
66542,-0.070,-0.253,1.034,246
66742,-0.084,0.099,0.962,-1
66942,-0.106,0.212,1.011,246
67142,-0.086,0.139,1.101,-1
67342,-0.051,0.025,0.906,246
67542,-0.110,0.030,1.003,-1
67742,-0.102,-0.428,0.961,245
67942,-0.061,-0.326,0.864,-1
68142,-0.007,-0.072,1.300,243
68342,-0.055,0.125,1.115,-1
68542,-0.144,0.354,0.926,242
68742,-0.089,-0.178,1.106,-1
68942,-0.128,-0.330,0.805,247
69142,-0.115,-0.337,0.917,-1
69342,-0.112,-0.316,0.969,245
69542,-0.075,-0.221,0.978,-1
69742,-0.075,-0.049,1.059,245
69942,-0.070,0.054,1.006,-1
70142,-0.014,-0.210,0.992,248
70342,-0.068,-0.005,0.987,-1
70542,-0.061,0.010,0.995,243
70742,-0.051,-0.013,1.019,-1
70942,-0.072,0.050,1.063,245
71142,-0.030,-0.142,0.974,-1
71342,-0.061,-0.132,1.016,245
71542,-0.022,0.013,1.007,-1
71742,-0.009,0.107,1.015,247
71942,-0.020,0.203,0.993,-1
72142,-0.013,-0.049,1.068,243
72342,-0.042,0.033,0.982,-1
72542,0.012,-0.049,1.086,244
72742,-0.013,0.213,0.943,-1
72942,-0.010,0.170,1.028,246
73142,-0.010,0.312,0.944,-1
73342,-0.056,0.542,0.751,245
