Angle,Mean_Deviation_ax,Std_Deviation_ax,Mean_Deviation_ay,Std_Deviation_ay,Mean_Deviation_az,Std_Deviation_az,Sensor,Orientation,Offsets
0,-0.0002,0.0006324555320336759,0.00030000000000000003,0.000674948557710553,0.01449999999999998,0.000707106781186522,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
20,-0.0031201433256686896,0.0005676462121975472,-0.0068000000000000005,0.0009189365834726812,0.006207379214091524,0.0017919573407620835,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
40,-0.010987609686539246,0.0006324555320336766,-0.0093,0.0004830458915396487,0.001355556881022002,0.0013498971154211072,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
60,-0.019325403784438623,0.004001388647846038,-0.0077,0.0008232726023485643,-0.0007000000000001117,0.003056868404829436,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
80,-0.02660775301220806,0.0006324555320336764,0.0036000000000000003,0.0008432740427115678,-0.005648177666930404,0.000942809041582064,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
-80,0.0032,0.0007888106377466155,2.016607753012208,0.0013165611772087474,0.05035182233306958,0.005142416206847175,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
-60,0.0049,0.0003162277660168376,1.7577254037844388,0.0014181364924122008,0.04519999999999993,0.004391911757866832,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
-40,0.0079,0.0005676462121975467,1.2918876096865393,0.001911950719959953,0.034555556881022034,0.0062574400161372395,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
-20,0.0013000000000000002,0.0008232726023485646,0.6811201433256687,0.0008755950357709175,0.012407379214091529,0.000567646212197547,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
0,0.0004,0.0006992058987801011,0.0,0.0008164965809277261,-0.012200000000000011,0.0007888106377466164,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
20,-0.003,0.0006666666666666668,-0.6784201433256687,0.0006992058987801009,-0.0356926207859084,0.0006666666666666674,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
40,-0.004399999999999999,0.0005163977794943222,-1.2568876096865391,0.0009944289260117587,-0.04904444311897804,0.0018856180831641296,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
60,-0.0038,0.0007888106377466155,-1.6870254037844385,0.0008164965809276362,-0.06540000000000011,0.0006992058987801019,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
80,0.0078,0.0007888106377466152,-1.902407753012208,0.0009660917830793531,-0.07114817766693042,0.0008498365855987944,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
-80,1.101007753012208,0.002898275349237892,1.0005,0.003597838857487125,0.11615182233306957,0.01203513375266118,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
-60,0.9520254037844385,0.002160246899469291,0.8612,0.0014757295747452458,0.11819999999999989,0.00908967668414132,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
-40,0.6955876096865393,0.003293090409394253,0.6399,0.0029230881691191947,0.09185555688102197,0.0070624201077093855,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
-20,0.3693201433256687,0.0026687491868330653,0.3321,0.003071373199943855,0.08210737921409154,0.008941787044856028,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
0,-0.0013000000000000002,0.0030203016773531453,0.0046,0.005834761729877617,0.07000000000000002,0.004898979485566337,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
20,-0.3430201433256687,0.003559026084010437,-0.33290000000000003,0.003142893217686175,0.06460737921409157,0.009787179823058786,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
40,-0.6633876096865393,0.0037475918193480592,-0.6296999999999999,0.0027507574714370677,0.054855556881021936,0.004357624225296271,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
60,-0.8679254037844386,0.0046055522047970775,-0.8522000000000001,0.0018135294011647127,0.04509999999999993,0.005606543795720621,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
80,-0.9486077530122079,0.002043961295567439,-0.9669000000000001,0.005195083145522193,0.05095182233306959,0.004325634186002227,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
-80,0.9296000000000001,0.003502380143083653,1.0585077530122082,0.0030930028559099216,0.08765182233306959,0.004922736366426032,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
-60,0.5967,0.0035292429153510525,0.9093254037844387,0.0031640339933558044,0.33459999999999984,0.004141926551202426,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
-40,0.4992,0.002859681411936954,0.6234876096865392,0.0026267851073127364,0.13905555688102203,0.004557045826702505,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
-20,0.27470000000000006,0.004762119042797821,0.2944201433256687,0.0042998707990925655,0.07040737921409153,0.005043147165543938,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
0,0.05,0.002748737083745107,-0.0262,0.0019888578520235066,0.05720000000000001,0.008121302577515218,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
20,-0.27040000000000003,0.002836272984824357,-0.35542014332566874,0.002118699810942753,0.09840737921409157,0.008451824260674961,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
40,-0.5765,0.004143267631552025,-0.6343876096865392,0.002270584848790192,0.138455556881022,0.011128042655082413,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
60,-0.8237,0.0043474130238568345,-0.8300254037844386,0.0045704364002673685,0.18289999999999992,0.006332456079595035,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
80,-0.9813000000000001,0.003497618237219924,-0.918307753012208,0.00645066749345453,0.21415182233306956,0.013104706533659333,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
