Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
3.230,-45.393,-5.080,222.027
3.240,-45.458,-4.500,221.626
3.250,-45.518,-3.926,221.225
3.260,-45.572,-3.356,220.825
3.270,-45.622,-2.791,220.425
3.280,-45.668,-2.231,220.026
3.290,-45.709,-1.675,219.627
3.300,-45.746,-1.123,219.229
3.310,-45.778,-0.576,218.832
3.320,-45.806,-0.034,218.436
3.330,-45.830,0.504,218.041
3.340,-45.850,1.038,217.647
3.350,-45.866,1.568,217.255
3.360,-45.877,2.093,216.864
3.370,-45.877,2.582,216.504
3.380,-45.881,3.099,216.117
3.390,-45.873,3.581,215.760
3.400,-45.862,4.061,215.404
3.410,-45.855,4.566,215.022
3.420,-45.844,5.068,214.641
3.430,-45.822,5.535,214.291
3.440,-45.804,6.029,213.914
3.450,-45.782,6.519,213.539
3.460,-45.756,7.005,213.166
3.470,-45.726,7.487,212.795
3.480,-45.693,7.965,212.426
3.490,-45.656,8.439,212.061
3.500,-45.616,8.909,211.697
3.510,-45.572,9.375,211.336
3.520,-45.524,9.837,210.977
3.530,-45.473,10.295,210.622
3.540,-45.418,10.749,210.268
3.550,-45.360,11.199,209.918
3.560,-45.298,11.645,209.570
3.570,-45.232,12.087,209.225
3.580,-45.163,12.526,208.883
3.590,-45.090,12.960,208.544
3.600,-45.014,13.390,208.208
3.610,-44.933,13.817,207.875
3.620,-44.850,14.240,207.545
3.630,-44.762,14.658,207.218
3.640,-44.671,15.072,206.895
3.650,-44.574,15.460,206.599
3.660,-44.475,15.867,206.281
3.670,-44.373,16.270,205.967
3.680,-44.267,16.670,205.657
3.690,-44.158,17.066,205.349
3.700,-44.044,17.457,205.045
3.710,-43.927,17.845,204.745
3.720,-43.806,18.229,204.448
3.730,-43.682,18.609,204.155
3.740,-43.553,18.985,203.865
3.750,-43.421,19.357,203.579
3.760,-43.285,19.726,203.297
3.770,-43.145,20.090,203.018
3.780,-43.002,20.450,202.743
3.790,-42.854,20.806,202.473
3.800,-42.704,21.138,202.225
3.810,-42.549,21.487,201.962
3.820,-42.390,21.832,201.702
3.830,-42.228,22.173,201.446
3.840,-42.061,22.510,201.194
3.850,-41.891,22.843,200.946
3.860,-41.717,23.172,200.702
3.870,-41.539,23.497,200.462
3.880,-41.357,23.819,200.226
3.890,-41.172,24.136,199.994
3.900,-40.982,24.449,199.766
3.910,-40.789,24.759,199.542
3.920,-40.593,25.065,199.322
3.930,-40.392,25.366,199.106
3.940,-40.188,25.664,198.894
3.950,-39.980,25.957,198.687
3.960,-39.773,26.232,198.498
3.970,-39.558,26.518,198.298
3.980,-39.339,26.801,198.102
3.990,-39.116,27.080,197.911
4.000,-38.890,27.355,197.723
4.010,-38.660,27.626,197.539
4.020,-38.427,27.894,197.359
4.030,-38.190,28.157,197.184
4.040,-37.949,28.417,197.012
4.050,-37.706,28.674,196.844
4.060,-37.459,28.926,196.680
4.070,-37.208,29.175,196.520
4.080,-36.954,29.420,196.364
4.090,-36.705,29.648,196.223
4.100,-36.444,29.887,196.074
4.110,-36.181,30.122,195.929
4.120,-35.914,30.353,195.788
4.130,-35.644,30.580,195.650
4.140,-35.371,30.805,195.517
4.150,-35.095,31.026,195.386
4.160,-34.816,31.243,195.259
4.170,-34.534,31.457,195.136
4.180,-34.249,31.667,195.016
4.190,-33.961,31.874,194.900
4.200,-33.671,32.078,194.787
4.210,-33.378,32.279,194.677
4.220,-33.082,32.476,194.571
4.230,-32.784,32.670,194.468
4.240,-32.483,32.861,194.368
4.250,-32.179,33.048,194.271
4.260,-31.884,33.223,194.184
4.270,-31.575,33.405,194.093
4.280,-31.264,33.584,194.005
4.290,-30.951,33.760,193.920
4.300,-30.635,33.933,193.838
4.310,-30.317,34.102,193.758
4.320,-29.997,34.269,193.681
4.330,-29.675,34.433,193.607
4.340,-29.351,34.595,193.536
4.350,-29.025,34.753,193.467
4.360,-28.697,34.908,193.400
4.370,-28.367,35.061,193.336
