Angle,ax,ay,az,Sensor,Orientation
-80,0.004,1.034,0.216,BMI270,Roll
-80,0.003,1.033,0.219,BMI270,Roll
-80,0.003,1.031,0.225,BMI270,Roll
-80,0.003,1.031,0.23,BMI270,Roll
-80,0.004,1.03,0.233,BMI270,Roll
-80,0.002,1.03,0.226,BMI270,Roll
-80,0.003,1.032,0.225,BMI270,Roll
-80,0.004,1.032,0.22,BMI270,Roll
-80,0.002,1.033,0.221,BMI270,Roll
0,0.052,-0.026,1.061,MPU6050,Roll
0,0.054,-0.024,1.044,MPU6050,Roll
0,0.053,-0.028,1.057,MPU6050,Roll
0,0.048,-0.028,1.044,MPU6050,Roll
0,0.045,-0.024,1.06,MPU6050,Roll
0,0.051,-0.026,1.061,MPU6050,Roll
0,0.05,-0.029,1.063,MPU6050,Roll
0,0.047,-0.027,1.058,MPU6050,Roll
0,0.05,-0.027,1.054,MPU6050,Roll
0,0.05,-0.023,1.07,MPU6050,Roll
20,-0.271,-0.012,1.026,MPU6050,Roll
20,-0.266,-0.012,1.037,MPU6050,Roll
20,-0.268,-0.011,1.044,MPU6050,Roll
20,-0.271,-0.015,1.027,MPU6050,Roll
20,-0.275,-0.013,1.048,MPU6050,Roll
20,-0.274,-0.012,1.04,MPU6050,Roll
20,-0.27,-0.012,1.046,MPU6050,Roll
20,-0.271,-0.014,1.048,MPU6050,Roll
20,-0.267,-0.018,1.035,MPU6050,Roll
20,-0.271,-0.015,1.03,MPU6050,Roll
40,-0.572,0.012,0.911,MPU6050,Roll
40,-0.58,0.009,0.904,MPU6050,Roll
40,-0.571,0.006,0.927,MPU6050,Roll
40,-0.57,0.011,0.908,MPU6050,Roll
40,-0.578,0.008,0.892,MPU6050,Roll
40,-0.578,0.011,0.887,MPU6050,Roll
40,-0.576,0.008,0.898,MPU6050,Roll
40,-0.58,0.007,0.91,MPU6050,Roll
40,-0.582,0.006,0.901,MPU6050,Roll
40,-0.578,0.006,0.907,MPU6050,Roll
60,-0.823,0.037,0.684,MPU6050,Roll
60,-0.825,0.035,0.684,MPU6050,Roll
60,-0.833,0.039,0.667,MPU6050,Roll
60,-0.818,0.033,0.687,MPU6050,Roll
60,-0.826,0.026,0.677,MPU6050,Roll
60,-0.821,0.038,0.684,MPU6050,Roll
60,-0.819,0.036,0.687,MPU6050,Roll
60,-0.826,0.036,0.687,MPU6050,Roll
60,-0.821,0.036,0.686,MPU6050,Roll
60,-0.825,0.044,0.686,MPU6050,Roll
80,-0.979,0.065,0.38,MPU6050,Roll
80,-0.983,0.069,0.395,MPU6050,Roll
80,-0.983,0.069,0.403,MPU6050,Roll
80,-0.976,0.052,0.403,MPU6050,Roll
80,-0.987,0.072,0.373,MPU6050,Roll
80,-0.983,0.069,0.392,MPU6050,Roll
80,-0.981,0.065,0.372,MPU6050,Roll
80,-0.981,0.076,0.387,MPU6050,Roll
80,-0.976,0.062,0.402,MPU6050,Roll
80,-0.984,0.066,0.371,MPU6050,Roll
-20,0.284,-0.038,1.005,MPU6050,Roll
-20,0.275,-0.045,1.001,MPU6050,Roll
-20,0.273,-0.05,1.014,MPU6050,Roll
-20,0.277,-0.047,1.012,MPU6050,Roll
-20,0.274,-0.053,1.012,MPU6050,Roll
-20,0.274,-0.051,1.009,MPU6050,Roll
-20,0.274,-0.047,1.016,MPU6050,Roll
-20,0.266,-0.051,1.005,MPU6050,Roll
-20,0.279,-0.045,1.011,MPU6050,Roll
-20,0.271,-0.049,1.016,MPU6050,Roll
-40,0.5,-0.024,0.9,MPU6050,Roll
-40,0.501,-0.017,0.905,MPU6050,Roll
-40,0.496,-0.023,0.906,MPU6050,Roll
-40,0.501,-0.016,0.913,MPU6050,Roll
-40,0.497,-0.019,0.907,MPU6050,Roll
-40,0.498,-0.018,0.904,MPU6050,Roll
-40,0.498,-0.019,0.906,MPU6050,Roll
-40,0.495,-0.019,0.906,MPU6050,Roll
-40,0.504,-0.021,0.908,MPU6050,Roll
-40,0.502,-0.017,0.896,MPU6050,Roll
-60,0.597,0.042,0.833,MPU6050,Roll
-60,0.602,0.043,0.838,MPU6050,Roll
-60,0.592,0.047,0.835,MPU6050,Roll
-60,0.597,0.04,0.833,MPU6050,Roll
-60,0.593,0.046,0.842,MPU6050,Roll
-60,0.596,0.045,0.831,MPU6050,Roll
-60,0.601,0.043,0.834,MPU6050,Roll
-60,0.599,0.047,0.835,MPU6050,Roll
-60,0.592,0.043,0.838,MPU6050,Roll
-60,0.598,0.037,0.827,MPU6050,Roll
-80,0.929,0.07,0.27,MPU6050,Roll
-80,0.925,0.073,0.257,MPU6050,Roll
-80,0.927,0.071,0.269,MPU6050,Roll
-80,0.936,0.072,0.257,MPU6050,Roll
-80,0.931,0.075,0.26,MPU6050,Roll
-80,0.925,0.071,0.265,MPU6050,Roll
-80,0.928,0.079,0.259,MPU6050,Roll
-80,0.933,0.077,0.26,MPU6050,Roll
-80,0.931,0.077,0.259,MPU6050,Roll
-80,0.931,0.072,0.257,MPU6050,Roll
