Angle,ax,ay,az,Sensor,Orientation
60,-0.008,-0.853,0.549,MPU6050,Pitch
60,0.002,-0.855,0.541,MPU6050,Pitch
60,-0.004,-0.851,0.546,MPU6050,Pitch
60,0.0,-0.852,0.554,MPU6050,Pitch
60,-0.008,-0.854,0.55,MPU6050,Pitch
80,0.039,-0.978,0.23,MPU6050,Pitch
80,0.032,-0.964,0.224,MPU6050,Pitch
80,0.035,-0.967,0.229,MPU6050,Pitch
80,0.037,-0.968,0.22,MPU6050,Pitch
80,0.038,-0.96,0.227,MPU6050,Pitch
80,0.035,-0.966,0.22,MPU6050,Pitch
80,0.038,-0.97,0.22,MPU6050,Pitch
80,0.037,-0.967,0.222,MPU6050,Pitch
80,0.035,-0.969,0.231,MPU6050,Pitch
80,0.036,-0.96,0.223,MPU6050,Pitch
-20,0.027,0.332,1.028,MPU6050,Pitch
-20,0.029,0.334,1.019,MPU6050,Pitch
-20,0.026,0.33,1.033,MPU6050,Pitch
-20,0.028,0.33,1.029,MPU6050,Pitch
-20,0.025,0.332,1.014,MPU6050,Pitch
-20,0.031,0.332,1.006,MPU6050,Pitch
-20,0.026,0.34,1.022,MPU6050,Pitch
-20,0.03,0.331,1.012,MPU6050,Pitch
-20,0.022,0.33,1.024,MPU6050,Pitch
-20,0.029,0.33,1.031,MPU6050,Pitch
-40,0.053,0.639,0.867,MPU6050,Pitch
-40,0.06,0.64,0.854,MPU6050,Pitch
-40,0.05,0.635,0.866,MPU6050,Pitch
-40,0.05,0.636,0.858,MPU6050,Pitch
-40,0.053,0.642,0.867,MPU6050,Pitch
-40,0.053,0.645,0.846,MPU6050,Pitch
-40,0.048,0.639,0.853,MPU6050,Pitch
-40,0.055,0.642,0.86,MPU6050,Pitch
-40,0.052,0.641,0.853,MPU6050,Pitch
-40,0.054,0.64,0.855,MPU6050,Pitch
-60,0.085,0.86,0.609,MPU6050,Pitch
-60,0.085,0.86,0.63,MPU6050,Pitch
-60,0.086,0.86,0.622,MPU6050,Pitch
-60,0.087,0.864,0.616,MPU6050,Pitch
-60,0.086,0.862,0.625,MPU6050,Pitch
-60,0.088,0.861,0.614,MPU6050,Pitch
-60,0.086,0.86,0.63,MPU6050,Pitch
-60,0.087,0.863,0.603,MPU6050,Pitch
-60,0.089,0.862,0.611,MPU6050,Pitch
-60,0.081,0.86,0.622,MPU6050,Pitch
-80,0.117,1.005,0.287,MPU6050,Pitch
-80,0.121,1.002,0.265,MPU6050,Pitch
-80,0.111,1.002,0.278,MPU6050,Pitch
-80,0.117,1.001,0.29,MPU6050,Pitch
-80,0.113,1.003,0.298,MPU6050,Pitch
-80,0.117,0.997,0.293,MPU6050,Pitch
-80,0.119,0.999,0.286,MPU6050,Pitch
-80,0.117,1.004,0.302,MPU6050,Pitch
-80,0.116,0.993,0.307,MPU6050,Pitch
-80,0.114,0.999,0.292,MPU6050,Pitch
