Angle,Mean_ax,Std_ax,Mean_ay,Std_ay,Mean_az,Std_az,Mean_Norm,Std_Norm,Sensor,Orientation,Offsets
20,0.33890000000000003,0.0005676462121975464,-0.0068000000000000005,0.0009189365834726812,0.9459,0.0017919573407620473,1.004802084107948,0.001817132149642191,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
40,0.6317999999999999,0.0006324555320336623,-0.0093,0.0004830458915396487,0.7674000000000001,0.001349897115421078,0.9940629284269967,0.0013309675443014613,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
60,0.8467,0.004001388647846036,-0.0077,0.0008232726023485643,0.4993,0.0030568684048294333,0.9829883766811538,0.004466083264161017,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
80,0.9581999999999999,0.0006324555320336658,0.0036000000000000003,0.0008432740427115678,0.168,0.0009428090415820675,0.9728235156803395,0.0006727549862557181,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
-80,0.0032,0.0007888106377466155,1.0318,0.0013165611772087754,0.22400000000000003,0.005142416206847177,1.055851803446333,0.0006404504716943602,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
-60,0.0049,0.0003162277660168376,0.8916999999999999,0.001418136492412169,0.5452,0.004391911757866832,1.0451857685923087,0.0014564538765682825,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
-40,0.0079,0.0005676462121975467,0.6491,0.001911950719960003,0.8006,0.006257440016137251,1.0307180941774028,0.0037431916421472576,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
-20,0.0013000000000000002,0.0008232726023485646,0.3391,0.0008755950357709065,0.9521,0.0005676462121975435,1.0106859279373541,0.000711078530967621,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
0,0.0004,0.0006992058987801011,0.0,0.0008164965809277261,0.9878,0.0007888106377466373,0.9878006074413485,0.0007887673244520855,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
20,-0.003,0.0006666666666666668,-0.33640000000000003,0.0006992058987801016,0.9040000000000001,0.0006666666666666656,0.9645676383538959,0.0007234488294546205,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
40,-0.004399999999999999,0.0005163977794943222,-0.6141,0.0009944289260117767,0.717,0.0018856180831641105,0.9440489317724937,0.001860232725353479,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
