Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
6.290,37.801,30.864,188.760
6.300,38.069,30.701,188.703
6.310,38.337,30.536,188.644
6.320,38.603,30.370,188.586
6.330,38.868,30.204,188.527
6.340,39.131,30.036,188.468
6.350,39.392,29.866,188.408
6.360,39.653,29.696,188.348
6.370,39.912,29.524,188.288
6.380,40.169,29.351,188.227
6.390,40.425,29.178,188.166
6.400,40.679,29.002,188.105
6.410,40.932,28.826,188.043
6.420,41.183,28.648,187.981
6.430,41.433,28.470,187.919
6.440,41.682,28.290,187.856
6.450,41.929,28.109,187.793
6.460,42.174,27.927,187.730
6.470,42.418,27.744,187.666
6.480,42.660,27.560,187.602
6.490,42.900,27.375,187.538
6.500,43.140,27.188,187.474
6.510,43.377,27.000,187.409
6.520,43.613,26.812,187.344
6.530,43.847,26.622,187.279
6.540,44.080,26.431,187.214
6.550,44.312,26.239,187.148
6.560,44.541,26.047,187.082
6.570,44.769,25.853,187.017
6.580,45.006,25.650,186.945
6.590,45.230,25.454,186.878
6.600,45.453,25.257,186.812
6.610,45.674,25.060,186.745
6.620,45.894,24.861,186.678
6.630,46.112,24.661,186.611
6.640,46.328,24.460,186.543
6.650,46.543,24.258,186.476
6.660,46.756,24.056,186.409
6.670,46.967,23.852,186.341
6.680,47.176,23.647,186.273
6.690,47.385,23.441,186.205
6.700,47.591,23.235,186.138
6.710,47.795,23.027,186.070
6.720,47.998,22.819,186.002
6.730,48.199,22.609,185.934
6.740,48.399,22.399,185.865
6.750,48.596,22.188,185.797
6.760,48.792,21.976,185.729
6.770,48.987,21.763,185.661
6.780,49.179,21.549,185.593
6.790,49.379,21.325,185.519
6.800,49.568,21.110,185.450
6.810,49.755,20.894,185.382
6.820,49.940,20.677,185.314
6.830,50.123,20.459,185.245
6.840,50.305,20.240,185.177
6.850,50.485,20.020,185.109
6.860,50.663,19.800,185.041
6.870,50.839,19.579,184.973
6.880,51.014,19.357,184.905
6.890,51.195,19.125,184.832
6.900,51.374,18.893,184.758
6.910,51.542,18.669,184.690
6.920,51.709,18.444,184.623
6.930,51.874,18.219,184.556
6.940,52.037,17.993,184.488
6.950,52.206,17.757,184.415
6.960,52.365,17.529,184.348
6.970,52.523,17.301,184.281
6.980,52.678,17.072,184.215
6.990,52.832,16.842,184.148
7.000,52.984,16.612,184.082
7.010,53.141,16.372,184.010
7.020,53.289,16.140,183.944
7.030,53.435,15.908,183.878
7.040,53.579,15.675,183.813
7.050,53.729,15.432,183.742
7.060,53.868,15.199,183.677
7.070,54.006,14.964,183.613
7.080,54.143,14.729,183.548
7.090,54.277,14.493,183.484
7.100,54.409,14.257,183.420
7.110,54.546,14.010,183.351
7.120,54.674,13.773,183.288
7.130,54.807,13.525,183.220
7.140,54.938,13.278,183.152
7.150,55.066,13.029,183.085
7.160,55.186,12.791,183.023
7.170,55.304,12.551,182.961
7.180,55.426,12.301,182.894
7.190,55.546,12.051,182.829
7.200,55.657,11.811,182.768
7.210,55.767,11.570,182.708
7.220,55.874,11.328,182.648
7.230,55.979,11.086,182.589
7.240,56.083,10.843,182.530
7.250,56.190,10.590,182.467
7.260,56.289,10.347,182.409
7.270,56.386,10.103,182.352
7.280,56.487,9.849,182.290
7.290,56.585,9.595,182.229
7.300,56.681,9.340,182.168
7.310,56.775,9.085,182.108
7.320,56.867,8.830,182.048
7.330,56.951,8.585,181.993
7.340,57.032,8.340,181.939
7.350,57.112,8.094,181.886
7.360,57.190,7.847,181.833
7.370,57.270,7.591,181.776
7.380,57.348,7.334,181.720
7.390,57.419,7.087,181.669
7.400,57.488,6.839,181.618
7.410,57.555,6.592,181.568
7.420,57.620,6.343,181.518
7.430,57.682,6.095,181.469
7.440,57.747,5.836,181.417
7.450,57.809,5.577,181.365
7.460,57.869,5.318,181.314
7.470,57.926,5.060,181.264
7.480,57.982,4.801,181.214
7.490,58.034,4.542,181.165
7.500,58.085,4.283,181.117
7.510,58.133,4.024,181.069
7.520,58.178,3.765,181.022
7.530,58.221,3.506,180.976
7.540,58.259,3.257,180.934
7.550,58.297,2.998,180.890
7.560,58.333,2.739,180.846
7.570,58.367,2.480,180.803
7.580,58.398,2.221,180.760
